"","max_depth","min_split","cp","minbucket","ganancia_promedio"
"611",6,50,-0.5,25,46802000
"612",6,50,0,25,41934000
"613",6,50,0.5,25,0
"614",6,50,1,25,0
"615",6,50,1.5,25,0
"616",6,50,2,25,0
"617",6,50,-1.5,12,47348000
"618",6,50,-1,12,47348000
"619",6,50,-0.5,12,47348000
"620",6,50,0,12,40272000
"621",6,50,0.5,12,0
"622",6,50,1,12,0
"623",6,50,1.5,12,0
"624",6,50,2,12,0
"625",6,50,-1.5,10,47562000
"626",6,50,-1,10,47562000
"627",6,50,-0.5,10,47562000
"628",6,50,0,10,40162000
"629",6,50,0.5,10,0
"630",6,50,1,10,0
"631",6,50,1.5,10,0
"632",6,50,2,10,0
"633",6,20,-1.5,16,47400000
"634",6,20,-1,16,47400000
"635",6,20,-0.5,16,47400000
"636",6,20,0,16,43432000
"637",6,20,0.5,16,0
"638",6,20,1,16,0
"639",6,20,1.5,16,0
"640",6,20,2,16,0
"641",6,20,-1.5,15,47412000
"642",6,20,-1,15,47412000
"643",6,20,-0.5,15,47412000
"644",6,20,0,15,43304000
"645",6,20,0.5,15,0
"646",6,20,1,15,0
"647",6,20,1.5,15,0
"648",6,20,2,15,0
"649",6,20,-1.5,10,47390000
"650",6,20,-1,10,47390000
"651",6,20,-0.5,10,47390000
"652",6,20,0,10,44826000
"653",6,20,0.5,10,0
"654",6,20,1,10,0
"655",6,20,1.5,10,0
"656",6,20,2,10,0
"657",6,20,-1.5,5,46938000
"658",6,20,-1,5,46938000
"659",6,20,-0.5,5,46938000
"660",6,20,0,5,44838000
"661",6,20,0.5,5,0
"662",6,20,1,5,0
"663",6,20,1.5,5,0
"664",6,20,2,5,0
"665",6,20,-1.5,4,47302000
"666",6,20,-1,4,47302000
"667",6,20,-0.5,4,47302000
"668",6,20,0,4,44778000
"669",6,20,0.5,4,0
"670",6,20,1,4,0
"671",6,20,1.5,4,0
"672",6,20,2,4,0
"673",6,10,-1.5,8,47944000
"674",6,10,-1,8,47944000
"675",6,10,-0.5,8,47944000
"676",6,10,0,8,44828000
"677",6,10,0.5,8,0
"678",6,10,1,8,0
"679",6,10,1.5,8,0
"680",6,10,2,8,0
"681",6,10,-1.5,7,47192000
"682",6,10,-1,7,47192000
"683",6,10,-0.5,7,47192000
"684",6,10,0,7,44526000
"685",6,10,0.5,7,0
"686",6,10,1,7,0
"687",6,10,1.5,7,0
"688",6,10,2,7,0
"689",6,10,-1.5,5,46696000
"690",6,10,-1,5,46696000
"691",6,10,-0.5,5,46696000
"692",6,10,0,5,44778000
"693",6,10,0.5,5,0
"694",6,10,1,5,0
"695",6,10,1.5,5,0
"696",6,10,2,5,0
"697",6,10,-1.5,2,45350000
"698",6,10,-1,2,45350000
"699",6,10,-0.5,2,45350000
"700",6,10,0,2,44414000
"701",6,10,0.5,2,0
"702",6,10,1,2,0
"703",6,10,1.5,2,0
"704",6,10,2,2,0
"705",8,1000,-1.5,800,49886000
"706",8,1000,-1,800,49886000
"707",8,1000,-0.5,800,49886000
"708",8,1000,0,800,0
"709",8,1000,0.5,800,0
"710",8,1000,1,800,0
"711",8,1000,1.5,800,0
"712",8,1000,2,800,0
"713",8,1000,-1.5,750,49908000
"714",8,1000,-1,750,49908000
"715",8,1000,-0.5,750,49908000
"716",8,1000,0,750,0
"717",8,1000,0.5,750,0
"718",8,1000,1,750,0
"719",8,1000,1.5,750,0
"720",8,1000,2,750,0
"721",8,1000,-1.5,500,48338000
"722",8,1000,-1,500,48338000
"723",8,1000,-0.5,500,48338000
"724",8,1000,0,500,0
"725",8,1000,0.5,500,0
"726",8,1000,1,500,0
"727",8,1000,1.5,500,0
"728",8,1000,2,500,0
"729",8,1000,-1.5,250,48354000
"730",8,1000,-1,250,48354000
"731",8,1000,-0.5,250,48354000
"732",8,1000,0,250,0
"733",8,1000,0.5,250,0
"734",8,1000,1,250,0
"735",8,1000,1.5,250,0
"736",8,1000,2,250,0
"737",8,1000,-1.5,200,48594000
"738",8,1000,-1,200,48594000
"739",8,1000,-0.5,200,48594000
"740",8,1000,0,200,0
"741",8,1000,0.5,200,0
"742",8,1000,1,200,0
"743",8,1000,1.5,200,0
"744",8,1000,2,200,0
"745",8,800,-1.5,640,49314000
"746",8,800,-1,640,49314000
"747",8,800,-0.5,640,49314000
"748",8,800,0,640,0
"749",8,800,0.5,640,0
"750",8,800,1,640,0
"751",8,800,1.5,640,0
"752",8,800,2,640,0
"753",8,800,-1.5,600,48966000
"754",8,800,-1,600,48966000
"755",8,800,-0.5,600,48966000
"756",8,800,0,600,0
"757",8,800,0.5,600,0
"758",8,800,1,600,0
"759",8,800,1.5,600,0
"760",8,800,2,600,0
"761",8,800,-1.5,400,48658000
"762",8,800,-1,400,48658000
"763",8,800,-0.5,400,48658000
"764",8,800,0,400,0
"765",8,800,0.5,400,0
"766",8,800,1,400,0
"767",8,800,1.5,400,0
"768",8,800,2,400,0
"769",8,800,-1.5,200,48356000
"770",8,800,-1,200,48356000
"771",8,800,-0.5,200,48356000
"772",8,800,0,200,0
"773",8,800,0.5,200,0
"774",8,800,1,200,0
"775",8,800,1.5,200,0
"776",8,800,2,200,0
"777",8,800,-1.5,160,49128000
"778",8,800,-1,160,49128000
"779",8,800,-0.5,160,49128000
"780",8,800,0,160,0
"781",8,800,0.5,160,0
"782",8,800,1,160,0
"783",8,800,1.5,160,0
"784",8,800,2,160,0
"785",8,600,-1.5,480,48516000
"786",8,600,-1,480,48516000
"787",8,600,-0.5,480,48516000
"788",8,600,0,480,0
"789",8,600,0.5,480,0
"790",8,600,1,480,0
"791",8,600,1.5,480,0
"792",8,600,2,480,0
"793",8,600,-1.5,450,48424000
"794",8,600,-1,450,48424000
"795",8,600,-0.5,450,48424000
"796",8,600,0,450,0
"797",8,600,0.5,450,0
"798",8,600,1,450,0
"799",8,600,1.5,450,0
"800",8,600,2,450,0
"801",8,600,-1.5,300,48354000
"802",8,600,-1,300,48354000
"803",8,600,-0.5,300,48354000
"804",8,600,0,300,0
"805",8,600,0.5,300,0
"806",8,600,1,300,0
"807",8,600,1.5,300,0
"808",8,600,2,300,0
"809",8,600,-1.5,150,48624000
"810",8,600,-1,150,48624000
"811",8,600,-0.5,150,48624000
"812",8,600,0,150,0
"813",8,600,0.5,150,0
"814",8,600,1,150,0
"815",8,600,1.5,150,0
"816",8,600,2,150,0
"817",8,600,-1.5,120,49236000
"818",8,600,-1,120,49236000
"819",8,600,-0.5,120,49236000
"820",8,600,0,120,0
"821",8,600,0.5,120,0
"822",8,600,1,120,0
"823",8,600,1.5,120,0
"824",8,600,2,120,0
"825",8,400,-1.5,320,48078000
"826",8,400,-1,320,48078000
"827",8,400,-0.5,320,48078000
"828",8,400,0,320,0
"829",8,400,0.5,320,0
"830",8,400,1,320,0
"831",8,400,1.5,320,0
"832",8,400,2,320,0
"833",8,400,-1.5,300,48354000
"834",8,400,-1,300,48354000
"835",8,400,-0.5,300,48354000
"836",8,400,0,300,0
"837",8,400,0.5,300,0
"838",8,400,1,300,0
"839",8,400,1.5,300,0
"840",8,400,2,300,0
"841",8,400,-1.5,200,48944000
"842",8,400,-1,200,48944000
"843",8,400,-0.5,200,48944000
"844",8,400,0,200,0
"845",8,400,0.5,200,0
"846",8,400,1,200,0
"847",8,400,1.5,200,0
"848",8,400,2,200,0
"849",8,400,-1.5,100,49608000
"850",8,400,-1,100,49608000
"851",8,400,-0.5,100,49608000
"852",8,400,0,100,0
"853",8,400,0.5,100,0
"854",8,400,1,100,0
"855",8,400,1.5,100,0
"856",8,400,2,100,0
"857",8,400,-1.5,80,48880000
"858",8,400,-1,80,48880000
"859",8,400,-0.5,80,48880000
"860",8,400,0,80,0
"861",8,400,0.5,80,0
"862",8,400,1,80,0
"863",8,400,1.5,80,0
"864",8,400,2,80,0
"865",8,200,-1.5,160,49050000
"866",8,200,-1,160,49050000
"867",8,200,-0.5,160,49050000
"868",8,200,0,160,0
"869",8,200,0.5,160,0
"870",8,200,1,160,0
"871",8,200,1.5,160,0
"872",8,200,2,160,0
"873",8,200,-1.5,150,48882000
"874",8,200,-1,150,48882000
"875",8,200,-0.5,150,48882000
"876",8,200,0,150,0
"877",8,200,0.5,150,0
"878",8,200,1,150,0
"879",8,200,1.5,150,0
"880",8,200,2,150,0
"881",8,200,-1.5,100,49254000
"882",8,200,-1,100,49254000
