max_depth	min_split	cp	minbucket	ganancia_promedio
6	1000	-1	500	49582000
6	1000	-0.5	500	49582000
6	1000	0	500	0
6	1000	0.5	500	0
6	1000	1	500	0
6	1000	1.5	500	0
6	1000	2	500	0
6	1000	-1.5	250	49894000
6	1000	-1	250	49894000
6	1000	-0.5	250	49894000
6	1000	0	250	0
6	1000	0.5	250	0
6	1000	1	250	0
6	1000	1.5	250	0
6	1000	2	250	0
6	1000	-1.5	200	50276000
6	1000	-1	200	50276000
6	1000	-0.5	200	50276000
6	1000	0	200	0
6	1000	0.5	200	0
6	1000	1	200	0
6	1000	1.5	200	0
6	1000	2	200	0
6	800	-1.5	640	50294000
6	800	-1	640	50294000
6	800	-0.5	640	50294000
6	800	0	640	0
6	800	0.5	640	0
6	800	1	640	0
6	800	1.5	640	0
6	800	2	640	0
6	800	-1.5	600	50248000
6	800	-1	600	50248000
6	800	-0.5	600	50248000
6	800	0	600	0
6	800	0.5	600	0
6	800	1	600	0
6	800	1.5	600	0
6	800	2	600	0
6	800	-1.5	400	49374000
6	800	-1	400	49374000
6	800	-0.5	400	49374000
6	800	0	400	0
6	800	0.5	400	0
6	800	1	400	0
6	800	1.5	400	0
6	800	2	400	0
6	800	-1.5	200	50052000
6	800	-1	200	50052000
6	800	-0.5	200	50052000
6	800	0	200	0
6	800	0.5	200	0
6	800	1	200	0
6	800	1.5	200	0
6	800	2	200	0
6	800	-1.5	160	49880000
6	800	-1	160	49880000
6	800	-0.5	160	49880000
6	800	0	160	0
6	800	0.5	160	0
6	800	1	160	0
6	800	1.5	160	0
6	800	2	160	0
6	600	-1.5	480	49486000
6	600	-1	480	49486000
6	600	-0.5	480	49486000
6	600	0	480	0
6	600	0.5	480	0
6	600	1	480	0
6	600	1.5	480	0
6	600	2	480	0
6	600	-1.5	450	49364000
6	600	-1	450	49364000
6	600	-0.5	450	49364000
6	600	0	450	0
6	600	0.5	450	0
6	600	1	450	0
6	600	1.5	450	0
6	600	2	450	0
6	600	-1.5	300	49210000
